"FMF_OBJECT_ID","CONC_CLASS_SHORT_NAME","GEOG_UNIT_TYPE_NUM","GEOG_UNIT_DESCR","VERIFICATION_STATUS_FLG","VERIFICATION_STATUS_DATE","BUSINESS_EFF_DATE_FLG","BUSINESS_EFFECTIVE_DATE","BUSINESS_EXPIRY_DATE","LOCATION_ACCURACY","LOCATION_DESCR","DATA_SENSITIVITY_IND","SENSITIVITY_CLASS","SENSITIVITY_DATE","SENSITIVITY_RATIONALE","SENS_RATIONALE_OTHER_DESCR","SYSTEM_CALCULATED_AREA","SYSTEM_CALCULATED_LENGTH","USER_CALCULATED_METRIC","GENERAL_COMMENTS","PUBLISHER_ID","EFFECTIVE_DATETIME","EXPIRY_DATETIME","EXT_EFFECTIVE_DATETIME","EXT_EXPIRY_DATETIME"
"67907537","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:40","No Restriction Needed","","174788961.004","68188.358","","","0","2010-01-07-23:35:16","","2010-01-07-14:12:08",""
"67907538","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:46","No Restriction Needed","","297968733.785","80241.761","","","0","2008-11-03-12:10:01","","2008-10-22-11:24:07",""
"67907539","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:53","No Restriction Needed","","1282329917.733","391312.535","","","0","2008-11-03-12:10:01","","2008-10-22-11:24:18",""
"67907546","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:31:27","No Restriction Needed","","1775504630.069","1075212.665","","","0","2008-11-03-12:10:01","","2008-10-22-11:26:11",""
"67907550","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:33:37","No Restriction Needed","","780335422.495","1638630.092","","","0","2008-11-03-12:10:01","","2008-10-22-11:27:40",""
"67907551","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:00","No Restriction Needed","","122753201.224","391182.028","","","0","2008-11-03-12:10:01","","2008-10-22-11:30:08",""
"67907552","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:07","No Restriction Needed","","54372751.162","275785.493","","","0","2008-11-03-12:10:01","","2008-10-22-11:30:16",""
"67907553","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:25","No Restriction Needed","","136477618.082","548974.134","","","0","2008-11-03-12:10:01","","2008-10-22-11:33:41",""
"67907554","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:35","No Restriction Needed","","231289551.071","362380.789","","","0","2008-11-03-12:10:01","","2008-10-22-11:34:26",""
"67907555","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:44","No Restriction Needed","","364537611.296","362787.358","","","0","2008-11-03-12:10:01","","2008-10-22-11:34:42",""
"67907556","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:50","No Restriction Needed","","2729018.403","11135.994","","","0","2008-11-03-12:10:01","","2008-10-22-11:34:47",""
"67907557","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:34:56","No Restriction Needed","","4057874125.791","437446.609","","","0","2008-11-03-12:10:01","","2008-10-22-11:35:00",""
"67907558","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:35:14","No Restriction Needed","","177220080.616","833655.890","","","0","2008-11-03-12:10:01","","2008-10-22-11:36:16",""
"67907559","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:35:20","No Restriction Needed","","3131626557.718","231532.462","","","0","2008-11-03-12:10:01","","2008-10-22-11:36:23",""
"67907560","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:35:27","No Restriction Needed","","1798281062.708","508529.367","","","0","2008-11-03-12:10:01","","2008-10-22-11:36:33",""
"67907561","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:35:33","No Restriction Needed","","1262907089.395","313101.230","","","0","2008-11-03-12:10:01","","2008-10-22-11:36:42",""
"67907563","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:35:39","No Restriction Needed","","3093148298.567","266297.154","","","0","2008-11-03-12:10:01","","2008-10-22-11:37:04",""
"67907564","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:36:26","No Restriction Needed","","13162903648.979","1349270.153","","","0","2008-11-03-12:10:01","","2008-10-22-11:37:54",""
"67907565","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:36:53","No Restriction Needed","","1134114325.263","321315.470","","","0","2008-11-03-12:10:01","","2008-10-22-11:38:46",""
"70674083","MUNIC","71","","Verified","2010-12-31-00:00:00","Actual","2010-12-31-00:00:00","","Within 20 metres","","No","Non-Sensitive","2010-12-31-11:50:58","No Restriction Needed","","244937752.384","2424995.373","","","0","2011-01-05-01:44:27","","2011-01-04-09:01:03",""
"70674168","MUNIC","71","","Verified","2010-12-31-00:00:00","Actual","2010-12-31-00:00:00","","Within 20 metres","","No","Non-Sensitive","2010-12-31-11:50:58","No Restriction Needed","","908319040.029","3628648.215","","","0","2011-01-05-01:44:27","","2011-01-04-08:50:47",""
